batch_size,learning_rate,split_count,cnt_min,cnt_max,embedding_dim,category_embedding_dim,hidden_size,checkpoint,epoch_num,accuracy,early_stop_epoch,hidden_size,metric_rankme,metric_coherence,metric_pseudo_condition_number,metric_alpha_req,metric_stable_rank,metric_ne_sum,metric_self_clustering,metric_ripser,time_rankme,time_coherence,time_pseudo_condition_number,time_alpha_req,time_stable_rank,time_ne_sum,time_self_clustering,time_ripser
64,0.001,3,10,50,16,8,128,checkpoints/model_64_0.001_3_10_50_128epoch=00.ckpt,0,0.44722222222222224,5,128,33.5124,3.8616,0.0012,4.3774,1.1472,5.7608,0.7601,-718.2506,0.0001,0.0001,0.0,0.0002,0.0001,0.0019,0.0014,0.2125
64,0.001,3,10,50,16,8,128,checkpoints/model_64_0.001_3_10_50_128epoch=01.ckpt,1,0.48194444444444445,5,128,37.3028,3.2678,0.0012,4.1659,1.1266,5.8811,0.7871,-860.0442,0.0001,0.0001,0.0,0.0002,0.0001,0.002,0.0014,0.2237
64,0.001,3,10,50,16,8,128,checkpoints/model_64_0.001_3_10_50_128epoch=02.ckpt,2,0.4913888888888889,5,128,38.4683,3.0444,0.0009,4.0417,1.1092,6.7477,0.8112,-930.6208,0.0001,0.0001,0.0,0.0002,0.0002,0.0021,0.0015,0.2283
64,0.001,3,10,50,16,8,128,checkpoints/model_64_0.001_3_10_50_128epoch=03.ckpt,3,0.5161111111111111,5,128,38.1271,2.7714,0.0005,4.1128,1.0972,7.6013,0.8293,-974.3272,0.0001,0.0001,0.0,0.0002,0.0001,0.002,0.0014,0.2228
64,0.001,3,10,50,16,8,128,checkpoints/model_64_0.001_3_10_50_128epoch=04.ckpt,4,0.5147222222222222,5,128,40.8191,2.8188,0.0006,4.0717,1.1107,7.1039,0.8089,-1054.4114,0.0001,0.0001,0.0,0.0002,0.0001,0.002,0.0014,0.2326
64,0.001,3,10,50,16,8,128,checkpoints/model_64_0.001_3_10_50_128epoch=05.ckpt,5,0.5147222222222222,5,128,44.0305,2.8629,0.0005,3.9508,1.1274,6.8874,0.7849,-1134.1387,0.0001,0.0001,0.0,0.0002,0.0001,0.0019,0.0014,0.2136
64,0.001,3,10,50,16,8,128,checkpoints/model_64_0.001_3_10_50_128epoch=06.ckpt,6,0.5269444444444444,5,128,44.2391,2.9537,0.0004,3.9989,1.1253,7.0118,0.7879,-1159.9738,0.0001,0.0001,0.0,0.0002,0.0001,0.0019,0.0014,0.2089
64,0.001,3,10,50,16,8,128,checkpoints/model_64_0.001_3_10_50_128epoch=07.ckpt,7,0.5238888888888888,5,128,44.8184,3.0704,0.0004,4.0119,1.1249,7.5178,0.7883,-1196.0378,0.0001,0.0001,0.0,0.0002,0.0001,0.0019,0.0014,0.2065
64,0.001,3,10,50,16,8,128,checkpoints/model_64_0.001_3_10_50_128epoch=08.ckpt,8,0.5188888888888888,5,128,44.273,3.213,0.0003,4.0575,1.118,7.1181,0.7981,-1191.3081,0.0001,0.0001,0.0,0.0002,0.0001,0.002,0.0014,0.2129
64,0.001,3,10,50,16,8,128,checkpoints/model_64_0.001_3_10_50_128epoch=09.ckpt,9,0.5311111111111111,5,128,44.9606,3.5403,0.0004,3.9981,1.1158,7.5788,0.8012,-1203.4582,0.0001,0.0001,0.0,0.0002,0.0001,0.002,0.0015,0.2159
64,0.05,3,10,50,16,8,128,checkpoints/model_64_0.05_3_10_50_128epoch=00.ckpt,0,0.3913888888888889,1,128,15.9319,4.6875,0.0,42.4294,1.1165,8.9856,0.8009,-1447.3911,0.0001,0.0001,0.0,0.0002,0.0001,0.0016,0.0013,0.2014
64,0.05,3,10,50,16,8,128,checkpoints/model_64_0.05_3_10_50_128epoch=01.ckpt,1,0.4013888888888889,1,128,20.3845,4.6875,0.0,43.8238,1.1391,10.4576,0.7692,-1712.1934,0.0001,0.0001,0.0,0.0002,0.0001,0.0016,0.0013,0.1808
64,0.05,3,10,50,16,8,128,checkpoints/model_64_0.05_3_10_50_128epoch=02.ckpt,2,0.3638888888888889,1,128,20.4098,4.6875,0.0,44.1932,1.1206,8.8877,0.795,-1437.263,0.0001,0.0002,0.0,0.0002,0.0001,0.0017,0.0014,0.1761
64,0.05,3,10,50,16,8,128,checkpoints/model_64_0.05_3_10_50_128epoch=03.ckpt,3,0.3675,1,128,21.0,4.6875,0.0,43.6742,1.1559,7.1487,0.7471,-1700.8134,0.0001,0.0001,0.0,0.0002,0.0001,0.0017,0.0014,0.1873
64,0.05,3,10,50,16,8,128,checkpoints/model_64_0.05_3_10_50_128epoch=04.ckpt,4,0.34694444444444444,1,128,25.2421,4.6875,0.0,44.5993,1.1704,7.1472,0.7289,-1599.3595,0.0001,0.0002,0.0,0.0002,0.0001,0.0017,0.0014,0.1572
64,0.05,3,10,50,16,8,128,checkpoints/model_64_0.05_3_10_50_128epoch=05.ckpt,5,0.34805555555555556,1,128,24.2395,4.6875,0.0,44.5051,1.1405,7.6676,0.7675,-1504.735,0.0001,0.0001,0.0,0.0002,0.0001,0.0017,0.0013,0.1718
64,0.001,2,10,50,16,8,128,checkpoints/model_64_0.001_2_10_50_128epoch=00.ckpt,0,0.44222222222222224,2,128,35.3937,3.7639,0.0014,4.409,1.2068,5.2241,0.6892,-691.9831,0.0001,0.0001,0.0,0.0002,0.0001,0.002,0.0015,0.2048
64,0.001,2,10,50,16,8,128,checkpoints/model_64_0.001_2_10_50_128epoch=01.ckpt,1,0.4652777777777778,2,128,39.0212,3.1877,0.0014,4.2129,1.1599,7.1901,0.7427,-817.6682,0.0001,0.0001,0.0,0.0003,0.0001,0.0021,0.0015,0.2269
